"id","time","St","curve"
113,2.29090909090909,0.752941176470588,1
114,2.30909090909091,0.752941176470588,1
115,2.32727272727273,0.75,1
116,2.32727272727273,0.75,1
117,2.34545454545455,0.747058823529412,1
118,2.34545454545455,0.747058823529412,1
119,2.36363636363636,0.744117647058824,1
120,2.36363636363636,0.744117647058824,1
121,2.38181818181818,0.741176470588235,1
122,2.38181818181818,0.741176470588235,1
123,2.4,0.738235294117647,1
124,2.41818181818182,0.738235294117647,1
125,2.43636363636364,0.735294117647059,1
126,2.43636363636364,0.735294117647059,1
127,2.45454545454545,0.73235294117647,1
128,2.45454545454545,0.73235294117647,1
129,2.47272727272727,0.729411764705882,1
130,2.49090909090909,0.729411764705882,1
131,2.50909090909091,0.726470588235294,1
132,2.50909090909091,0.726470588235294,1
133,2.52727272727273,0.720588235294118,1
134,2.52727272727273,0.720588235294118,1
135,2.54545454545455,0.717647058823529,1
136,2.56363636363636,0.717647058823529,1
137,2.58181818181818,0.714705882352941,1
138,2.6,0.714705882352941,1
139,2.61818181818182,0.708823529411765,1
140,2.63636363636364,0.708823529411765,1
141,2.65454545454545,0.705882352941176,1
142,2.69090909090909,0.705882352941176,1
143,2.70909090909091,0.7,1
144,2.70909090909091,0.7,1
145,2.72727272727273,0.697058823529412,1
146,2.74545454545455,0.697058823529412,1
147,2.76363636363636,0.691176470588235,1
148,2.76363636363636,0.691176470588235,1
149,2.78181818181818,0.688235294117647,1
150,2.8,0.688235294117647,1
151,2.81818181818182,0.679411764705882,1
152,2.85454545454545,0.679411764705882,1
153,2.87272727272727,0.664705882352941,1
154,2.87272727272727,0.664705882352941,1
155,2.89090909090909,0.661764705882353,1
156,2.89090909090909,0.661764705882353,1
157,2.90909090909091,0.65,1
158,2.90909090909091,0.65,1
159,2.92727272727273,0.647058823529412,1
160,2.94545454545455,0.647058823529412,1
161,2.96363636363636,0.641176470588235,1
162,2.98181818181818,0.641176470588235,1
163,3,0.635294117647059,1
164,3.01818181818182,0.635294117647059,1
165,3.03636363636364,0.63235294117647,1
166,3.03636363636364,0.63235294117647,1
167,3.05454545454545,0.629411764705882,1
168,3.05454545454545,0.629411764705882,1
169,3.07272727272727,0.626470588235294,1
170,3.07272727272727,0.626470588235294,1
171,3.09090909090909,0.623529411764706,1
172,3.09090909090909,0.623529411764706,1
173,3.10909090909091,0.620588235294118,1
174,3.12727272727273,0.620588235294118,1
175,3.14545454545455,0.61764705882353,1
176,3.14545454545455,0.61764705882353,1
177,3.16363636363636,0.614705882352941,1
178,3.18181818181818,0.614705882352941,1
179,3.2,0.611764705882353,1
180,3.2,0.611764705882353,1
181,3.21818181818182,0.608823529411765,1
182,3.23636363636364,0.608823529411765,1
183,3.25454545454545,0.602941176470588,1
184,3.27272727272727,0.602941176470588,1
185,3.29090909090909,0.6,1
186,3.30909090909091,0.6,1
187,3.32727272727273,0.597058823529412,1
188,3.36363636363636,0.597058823529412,1
189,3.38181818181818,0.594117647058824,1
190,3.4,0.594117647058824,1
191,3.41818181818182,0.591176470588235,1
192,3.41818181818182,0.591176470588235,1
193,3.43636363636364,0.585294117647059,1
194,3.45454545454545,0.585294117647059,1
195,3.47272727272727,0.58235294117647,1
196,3.49090909090909,0.58235294117647,1
197,3.50909090909091,0.579411764705882,1
198,3.54545454545455,0.579411764705882,1
199,3.56363636363636,0.573529411764706,1
200,3.56363636363636,0.573529411764706,1
201,3.58181818181818,0.570588235294118,1
202,3.61818181818182,0.570588235294118,1
203,3.63636363636364,0.567647058823529,1
204,3.65454545454545,0.567647058823529,1
205,3.67272727272727,0.564705882352941,1
206,3.67272727272727,0.564705882352941,1
207,3.69090909090909,0.561764705882353,1
208,3.72727272727273,0.561764705882353,1
209,3.74545454545455,0.555882352941176,1
210,3.74545454545455,0.555882352941176,1
211,3.76363636363636,0.552941176470588,1
212,3.76363636363636,0.552941176470588,1
213,3.78181818181818,0.55,1
214,3.81818181818182,0.55,1
215,3.83636363636364,0.547058823529412,1
216,3.83636363636364,0.547058823529412,1
217,3.85454545454545,0.544117647058823,1
218,3.85454545454545,0.544117647058823,1
219,3.87272727272727,0.538235294117647,1
220,3.89090909090909,0.538235294117647,1
221,3.90909090909091,0.535294117647059,1
222,3.90909090909091,0.535294117647059,1
223,3.92727272727273,0.532352941176471,1
224,3.92727272727273,0.532352941176471,1
225,3.94545454545455,0.526470588235294,1
226,3.94545454545455,0.526470588235294,1
227,3.96363636363636,0.523529411764706,1
228,4.01818181818182,0.523529411764706,1
229,4.03636363636364,0.514705882352941,1
230,4.07272727272727,0.514705882352941,1
231,4.09090909090909,0.508823529411765,1
232,4.09090909090909,0.508823529411765,1
233,4.10909090909091,0.502941176470588,1
234,4.10909090909091,0.502941176470588,1
235,4.12727272727273,0.5,1
236,4.14545454545455,0.5,1
237,4.16363636363636,0.497058823529412,1
238,4.18181818181818,0.497058823529412,1
239,4.2,0.491176470588235,1
240,4.2,0.491176470588235,1
241,4.21818181818182,0.488235294117647,1
242,4.23636363636364,0.488235294117647,1
243,4.25454545454545,0.482352941176471,1
244,4.25454545454545,0.482352941176471,1
245,4.27272727272727,0.479411764705882,1
246,4.27272727272727,0.479411764705882,1
247,4.29090909090909,0.476470588235294,1
248,4.29090909090909,0.476470588235294,1
249,4.30909090909091,0.473529411764706,1
250,4.32727272727273,0.473529411764706,1
251,4.34545454545455,0.467647058823529,1
252,4.34545454545455,0.467647058823529,1
253,4.36363636363636,0.464705882352941,1
254,4.4,0.464705882352941,1
255,4.41818181818182,0.461764705882353,1
256,4.41818181818182,0.461764705882353,1
257,4.43636363636364,0.458823529411765,1
258,4.49090909090909,0.458823529411765,1
259,4.50909090909091,0.45,1
260,4.58181818181818,0.45,1
261,4.6,0.447058823529412,1
